"id","payment_id","region","region_code","circle","circle_code","division_name","division_code","consumer_id","consumer_name","payment_mode","payment_date","punching_date","payment_amount","status","dept_name","dept_code","govrmt_private","arrear_paid","current_bill_paid","status_on_punching","payment_cancelled_date"
1335,398883,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior North,"2424200",H2421038472,LUSTRE TUFF GLASS PVT LTD,Virtual Account,2024-06-11,2024-06-11,1000000,Success,,,PVT,0,1000000,CONNECTED,
1042,398815,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior North,"2424200",H2421038519,BEW AUTO PARTS,Virtual Account,2024-06-11,2024-06-11,486780,Success,,,PVT,0,486780,CONNECTED,
1634,399523,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior North,"2424200",H2421038631,EMPLOYEES PROVIDENT FUND ORGANIZATION ,Virtual Account,2024-06-12,2024-06-12,125901,Success,,,PVT,0,125901,CONNECTED,
1835,399215,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior North,"2424200",H2421038815,KUSUMATULYA LIFESPACES PRIVATE LIMITED,SBI Collect,2024-06-11,2024-06-11,247120,Success,,,PVT,0,247120,CONNECTED,
742,398209,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior North,"2424200",H3493024746,HINDUSTAN URBAN INFRASTRUCTURE,Virtual Account,2024-06-07,2024-06-07,96136,Success, NA,"",PVT,0,96136,CONNECTED,
2903,400459,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior North,"2424200",H5207022000,THE PRINCIPAL,RTGS,2024-06-29,2024-06-30,910495,Success, NA,"",PVT,0,910495,CONNECTED,
2779,400157,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior North,"2424200",H6368022000,MS MOTILAL  AGRAWAL  MILLS,Virtual Account,2024-06-27,2024-06-27,35665,Success, NA,"",PVT,34969.000,696.000,CONNECTED,
1095,398841,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior North,"2424200",H6468022000,THE ADDL.CHIEF GENERAL MANAGER MPSEDC,Virtual Account,2024-06-11,2024-06-11,302400,Success, INFORMATION TECHNOLOGY,"",GOVT,0,302400,CONNECTED,
958,398494,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior North,"2424200",H6560920414,THE REGISTRAR A.B.V. I.I.I.T.M. CAMPUS,Virtual Account,2024-06-10,2024-06-10,498153,Success, SCHOOL EDUCATION DEPARTMENT OTHERS,G01104,GOVT,0,498153,CONNECTED,
1078,398564,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior North,"2424200",H6858022000,STAR AUTO PRODUCT,RTGS,2024-06-10,2024-06-10,283237,Success, NA,"",PVT,0,283237,CONNECTED,
1467,399005,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior North,"2424200",H6929652460,MS SHREE SHYAM INDUSTRIS,SBI Collect,2024-06-09,2024-06-11,754518,Success, NA,"",PVT,0,754518,CONNECTED,
2666,400239,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior North,"2424200",H7128570379,INDIAN AUTO CABLES INDUSTRIES,Virtual Account,2024-06-28,2024-06-28,115000,Success, NA,"",PVT,100418.000,14582.000,CONNECTED,
2595,400367,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior North,"2424200",H7128570379,INDIAN AUTO CABLES INDUSTRIES,Virtual Account,2024-06-29,2024-06-29,105000,Success, NA,"",PVT,105000,0,CONNECTED,
193,397762,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior North,"2424200",H7297022000,THE SUPERINTENDENT  CENTRAL  JAIL,NEFT,2024-06-03,2024-06-04,950890,Success, HOME DEPARTEMENT POLICE,G03501,GOVT,0,950890,CONNECTED,
2160,399652,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior North,"2424200",H7315363586,MS KALYAN MULTI SPECIALITY HOSPITAL,RTGS,2024-06-12,2024-06-13,326833,Success, NA,"",PVT,0,326833,CONNECTED,
471,397925,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior North,"2424200",H7338022000,SH.SANJIV SO HARBANSALALGUPTA,Virtual Account,2024-06-05,2024-06-05,199236,Success, NA,"",PVT,0,199236,CONNECTED,
